*	alice29.txt=2.785329835010767,cp.html=3.1398790864012365,asyoulik.txt=2.1760912590556813,fields.c=3.7151673578484576,grammar.lsp=2.732393759822968,lcet10.txt=3.814913181275074,plrabn12.txt=2.0,xargs.1=1.8450980400142567,8
cataloging*	lcet10.txt=1.9542425094393248,1
catalogs*	lcet10.txt=1.4771212547196624,1
catalogue*	lcet10.txt=2.113943352306837,1
catalogued*	lcet10.txt=1.0,1
catalogues*	lcet10.txt=1.6989700043360187,1
cataloguing*	lcet10.txt=2.041392685158225,1
catalytic*	lcet10.txt=1.4771212547196624,1
catalyze*	lcet10.txt=1.0,1
catalyzed*	lcet10.txt=1.0,1
cataracts*	plrabn12.txt=1.3010299956639813,1
catarrhs*	plrabn12.txt=1.0,1
catch*	alice29.txt=1.4771212547196624,asyoulik.txt=1.3010299956639813,plrabn12.txt=1.0,3
catched*	plrabn12.txt=1.0,1
catching*	alice29.txt=1.3010299956639813,1
catechism*	asyoulik.txt=1.0,1
categories*	lcet10.txt=1.6020599913279623,1
category*	lcet10.txt=1.8450980400142567,1
caterpillar*	alice29.txt=2.431363764158987,1
caterpillars*	alice29.txt=1.0,1
caters*	asyoulik.txt=1.0,1
cathaian*	plrabn12.txt=1.3010299956639813,1
catlike*	asyoulik.txt=1.0,1
cats*	alice29.txt=2.1760912590556813,1
cattle*	alice29.txt=1.0,asyoulik.txt=1.3010299956639813,plrabn12.txt=1.8450980400142567,3
caucusrace*	alice29.txt=1.4771212547196624,1
caught*	alice29.txt=1.4771212547196624,asyoulik.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.4771212547196624,4
cauldron*	alice29.txt=1.3010299956639813,1
cause*	lcet10.txt=1.4771212547196624,alice29.txt=1.4771212547196624,asyoulik.txt=1.9542425094393248,plrabn12.txt=2.3979400086720375,xargs.1=1.0,5
caused*	alice29.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,2
causes*	lcet10.txt=1.0,plrabn12.txt=1.6989700043360187,2
causey*	plrabn12.txt=1.0,1
caution*	lcet10.txt=1.0,plrabn12.txt=1.4771212547196624,2
cautioned*	lcet10.txt=1.3010299956639813,1
cautions*	lcet10.txt=1.3010299956639813,1
cautious*	plrabn12.txt=1.0,1
cautiously*	alice29.txt=1.4771212547196624,1
cavalier*	lcet10.txt=1.0,1
cavallo*	lcet10.txt=1.0,1
cave*	asyoulik.txt=1.4771212547196624,plrabn12.txt=1.4771212547196624,2
caveat*	lcet10.txt=1.0,1
caves*	plrabn12.txt=1.7781512503836434,1
cc*	cp.html=1.0,1
ccc*	lcet10.txt=1.3010299956639813,1
ccd*	lcet10.txt=1.0,1
ccitt*	lcet10.txt=1.6020599913279623,1
ccitti*	cp.html=1.0,1
ccm*	cp.html=1.0,1
ccr*	cp.html=1.3010299956639813,1
cd*	lcet10.txt=1.3010299956639813,1
cdrom*	cp.html=1.0,lcet10.txt=2.9138138523837167,2
cdroms*	lcet10.txt=1.7781512503836434,1
cdromvideodisc*	lcet10.txt=1.0,1
cease*	plrabn12.txt=1.7781512503836434,1
ceased*	plrabn12.txt=2.113943352306837,1
ceaseless*	plrabn12.txt=1.6020599913279623,1
ceases*	plrabn12.txt=1.0,1
cedar*	plrabn12.txt=1.6020599913279623,1
cedars*	plrabn12.txt=1.3010299956639813,1
ceiling*	alice29.txt=1.0,1
celebrate*	plrabn12.txt=1.3010299956639813,1
celebrated*	plrabn12.txt=1.0,1
celerity*	lcet10.txt=1.0,1
celestial*	plrabn12.txt=2.462397997898956,1
celia*	asyoulik.txt=3.1003705451175625,1
cell*	plrabn12.txt=1.3010299956639813,1
cells*	plrabn12.txt=1.4771212547196624,1
celtic*	plrabn12.txt=1.0,1
censer*	plrabn12.txt=1.0,1
censers*	plrabn12.txt=1.0,1
censure*	asyoulik.txt=1.3010299956639813,1
centaur*	plrabn12.txt=1.0,1
center*	cp.html=1.3010299956639813,lcet10.txt=2.2041199826559246,plrabn12.txt=1.9542425094393248,3
centered*	plrabn12.txt=1.0,1
central*	lcet10.txt=1.3010299956639813,1
centralization*	lcet10.txt=1.0,1
centre*	alice29.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,3
centrick*	plrabn12.txt=1.3010299956639813,1
centring*	plrabn12.txt=1.0,1
cents*	lcet10.txt=1.3010299956639813,1
century*	lcet10.txt=2.0,1
cerastes*	plrabn12.txt=1.0,1
cerberean*	plrabn12.txt=1.0,1
ceremonies*	plrabn12.txt=1.0,1
ceremony*	plrabn12.txt=1.0,1
ceres*	plrabn12.txt=1.4771212547196624,1
certain*	alice29.txt=1.4771212547196624,asyoulik.txt=1.3010299956639813,lcet10.txt=2.1461280356782377,plrabn12.txt=1.9030899869919433,4
certainly*	alice29.txt=2.1461280356782377,asyoulik.txt=1.3010299956639813,lcet10.txt=1.0,3
ceth*	lcet10.txt=1.9030899869919433,1
ceths*	lcet10.txt=1.0,1
cgiar*	lcet10.txt=1.0,1
ch*	fields.c=2.3010299956639813,1
chadwyckhealey*	lcet10.txt=2.0,1
chadwyckhealeys*	lcet10.txt=1.4771212547196624,1
chaff*	plrabn12.txt=1.0,1
chain*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,2
chained*	plrabn12.txt=1.6020599913279623,1
chains*	alice29.txt=1.0,plrabn12.txt=2.0,2
chair*	plrabn12.txt=1.3010299956639813,1
chaldaea*	plrabn12.txt=1.0,1
challenge*	lcet10.txt=2.041392685158225,1
challenged*	asyoulik.txt=1.0,lcet10.txt=1.0,2
challenger*	asyoulik.txt=1.3010299956639813,1
challengers*	asyoulik.txt=1.0,1
challenges*	lcet10.txt=2.041392685158225,1
challenging*	lcet10.txt=1.3010299956639813,1
cham*	plrabn12.txt=1.0,1
chamber*	asyoulik.txt=1.0,1
champaign*	plrabn12.txt=1.0,1
champain*	plrabn12.txt=1.0,1
champing*	plrabn12.txt=1.0,1
champions*	plrabn12.txt=1.4771212547196624,1
chance*	alice29.txt=1.6020599913279623,plrabn12.txt=2.230448921378274,2
chanced*	alice29.txt=1.0,plrabn12.txt=1.3010299956639813,2
chances*	xargs.1=1.0,1
chandru*	lcet10.txt=1.0,1
change*	plrabn12.txt=2.5440680443502757,alice29.txt=2.113943352306837,asyoulik.txt=1.7781512503836434,lcet10.txt=1.9030899869919433,4
changeable*	asyoulik.txt=1.0,1
changed*	lcet10.txt=1.7781512503836434,alice29.txt=1.9030899869919433,plrabn12.txt=2.113943352306837,3
changes*	alice29.txt=1.3010299956639813,asyoulik.txt=1.0,lcet10.txt=2.2552725051033056,plrabn12.txt=1.3010299956639813,4
changing*	plrabn12.txt=1.4771212547196624,alice29.txt=1.3010299956639813,lcet10.txt=1.8450980400142567,3
channel*	lcet10.txt=1.0,1
channels*	plrabn12.txt=1.0,1
chanticleer*	asyoulik.txt=1.0,1
chaos*	lcet10.txt=1.4771212547196624,plrabn12.txt=2.3979400086720375,2
chapel*	asyoulik.txt=1.0,1
chapter*	alice29.txt=2.0791812460476247,lcet10.txt=1.4771212547196624,2
chapters*	lcet10.txt=1.0,1
char*	fields.c=2.556302500767287,1
character*	asyoulik.txt=1.0,alice29.txt=1.0,fields.c=1.3010299956639813,lcet10.txt=2.1461280356782377,plrabn12.txt=1.0,xargs.1=1.3010299956639813,6
characterbycharacter*	lcet10.txt=1.0,1
characteristics*	lcet10.txt=1.9030899869919433,1
characterization*	lcet10.txt=1.0,1
characterized*	lcet10.txt=1.4771212547196624,1
characterrecognition*	lcet10.txt=1.0,1
characters*	xargs.1=1.3010299956639813,fields.c=1.4771212547196624,lcet10.txt=2.113943352306837,plrabn12.txt=1.4771212547196624,4
charge*	asyoulik.txt=1.6989700043360187,plrabn12.txt=2.322219294733919,2
chargecouple*	lcet10.txt=1.0,1
charged*	asyoulik.txt=1.4771212547196624,lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,3
charges*	alice29.txt=1.0,lcet10.txt=1.3010299956639813,2
charilaosa*	cp.html=1.0,1
chariot*	plrabn12.txt=1.9542425094393248,1
charioteer*	plrabn12.txt=1.0,1
chariots*	plrabn12.txt=1.6989700043360187,1
chariotwheels*	plrabn12.txt=1.6020599913279623,1
charities*	plrabn12.txt=1.0,1
charity*	plrabn12.txt=1.3010299956639813,1
charlemain*	plrabn12.txt=1.0,1
charles*	asyoulik.txt=2.380211241711606,lcet10.txt=1.0,2
charlesa*	cp.html=1.3010299956639813,1
charlottesville*	lcet10.txt=1.3010299956639813,1
charm*	plrabn12.txt=1.8450980400142567,1
charmed*	plrabn12.txt=1.3010299956639813,1
charming*	plrabn12.txt=1.6020599913279623,1
charms*	plrabn12.txt=1.4771212547196624,1
chars*	plrabn12.txt=1.0,1
chart*	lcet10.txt=1.4771212547196624,1
charter*	asyoulik.txt=1.0,1
charybdis*	plrabn12.txt=1.0,1
chase*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.6020599913279623,2
chaste*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,2
chastening*	plrabn12.txt=1.0,1
chastity*	asyoulik.txt=1.0,1
chatte*	alice29.txt=1.0,1
cheap*	alice29.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.0,3
cheaper*	lcet10.txt=1.0,1
cheapest*	lcet10.txt=1.0,1
cheated*	alice29.txt=1.0,1
check*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.0,2
checked*	alice29.txt=1.4771212547196624,lcet10.txt=1.0,plrabn12.txt=1.0,3
checking*	lcet10.txt=1.0,1
checkmark*	lcet10.txt=1.0,1
checks*	plrabn12.txt=1.0,1
cheek*	asyoulik.txt=1.6989700043360187,plrabn12.txt=1.6989700043360187,2
cheeks*	plrabn12.txt=1.0,alice29.txt=1.0,2
cheer*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.0,2
cheered*	alice29.txt=1.4771212547196624,plrabn12.txt=1.6020599913279623,2
cheerful*	asyoulik.txt=1.0,plrabn12.txt=1.6989700043360187,2
cheerfully*	alice29.txt=1.0,1
cheerly*	asyoulik.txt=1.3010299956639813,1
chemical*	lcet10.txt=2.278753600952829,1
chemistry*	lcet10.txt=2.0,1
chemists*	lcet10.txt=1.3010299956639813,1
chemos*	plrabn12.txt=1.0,1
cheque*	asyoulik.txt=1.0,1
cherish*	plrabn12.txt=1.0,1
cherishing*	plrabn12.txt=1.0,1
cherrytart*	alice29.txt=1.0,1
chersonese*	plrabn12.txt=1.0,1
cherub*	plrabn12.txt=1.9030899869919433,1
cherubick*	plrabn12.txt=1.6989700043360187,1
cherubim*	plrabn12.txt=2.1461280356782377,1
cheshire*	alice29.txt=1.8450980400142567,1
chestnut*	asyoulik.txt=1.0,1
chew*	plrabn12.txt=1.0,1
chewed*	plrabn12.txt=1.0,1
chewing*	asyoulik.txt=1.0,1
chicago*	lcet10.txt=1.4771212547196624,1
chid*	asyoulik.txt=1.0,1
chide*	asyoulik.txt=1.6989700043360187,1
chiding*	asyoulik.txt=1.4771212547196624,1
chief*	alice29.txt=1.0,lcet10.txt=1.7781512503836434,plrabn12.txt=2.380211241711606,3
chiefly*	lcet10.txt=1.4771212547196624,plrabn12.txt=2.113943352306837,2
child*	alice29.txt=2.0,asyoulik.txt=1.4771212547196624,2
childbearing*	plrabn12.txt=1.0,1
childhood*	alice29.txt=1.0,1
childish*	asyoulik.txt=1.0,1
childishness*	asyoulik.txt=1.0,1
childless*	plrabn12.txt=1.4771212547196624,1
childlife*	alice29.txt=1.0,1
children*	lcet10.txt=1.0,alice29.txt=2.0,asyoulik.txt=1.3010299956639813,cp.html=1.0,plrabn12.txt=1.6020599913279623,5
childrens*	plrabn12.txt=1.0,1
childs*	asyoulik.txt=1.0,1
chill*	plrabn12.txt=1.0,1
chilled*	plrabn12.txt=1.0,1
chilling*	plrabn12.txt=1.0,1
chime*	plrabn12.txt=1.0,1
chimeras*	plrabn12.txt=1.0,1
chimney*	alice29.txt=1.6989700043360187,asyoulik.txt=1.0,2
chimneynay*	alice29.txt=1.0,1
chimneys*	alice29.txt=1.0,1
chin*	alice29.txt=1.8450980400142567,asyoulik.txt=1.3010299956639813,2
chineses*	plrabn12.txt=1.0,1
chins*	asyoulik.txt=1.0,1
chips*	cp.html=1.3010299956639813,1
chivalry*	plrabn12.txt=1.3010299956639813,1
choice*	alice29.txt=1.3010299956639813,lcet10.txt=1.9542425094393248,plrabn12.txt=2.361727836017593,3
choices*	lcet10.txt=1.6989700043360187,1
choicest*	plrabn12.txt=1.4771212547196624,1
choisest*	plrabn12.txt=1.0,1
choke*	alice29.txt=1.0,asyoulik.txt=1.0,2
choked*	alice29.txt=1.4771212547196624,1
choking*	alice29.txt=1.0,1
choose*	lcet10.txt=1.7781512503836434,plrabn12.txt=2.041392685158225,2
choosing*	alice29.txt=1.0,lcet10.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,3
chop*	alice29.txt=1.0,1
chopt*	asyoulik.txt=1.0,1
choral*	plrabn12.txt=1.3010299956639813,1
chords*	plrabn12.txt=1.0,1
chorus*	alice29.txt=1.7781512503836434,plrabn12.txt=1.0,2
chose*	alice29.txt=1.3010299956639813,lcet10.txt=1.4771212547196624,plrabn12.txt=1.8450980400142567,3
chosen*	asyoulik.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=1.6020599913279623,3
chrisa*	cp.html=1.0,1
christened*	asyoulik.txt=1.0,1
christian*	asyoulik.txt=1.0,1
christmas*	alice29.txt=1.0,1
christophera*	cp.html=1.3010299956639813,1
christosa*	cp.html=1.0,1
chronological*	lcet10.txt=1.0,1
chrysalisyou*	alice29.txt=1.0,1
chrysolite*	plrabn12.txt=1.0,1
chuckled*	alice29.txt=1.0,1
chunks*	lcet10.txt=1.0,1
church*	asyoulik.txt=1.6020599913279623,plrabn12.txt=1.0,2
churlish*	asyoulik.txt=1.6020599913279623,1
cicatrice*	asyoulik.txt=1.0,1
cieling*	plrabn12.txt=1.0,1
cincture*	plrabn12.txt=1.0,1
cinders*	plrabn12.txt=1.0,1
cipher*	asyoulik.txt=1.0,1
circa*	lcet10.txt=1.0,1
circean*	plrabn12.txt=1.0,1
circle*	asyoulik.txt=1.3010299956639813,alice29.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.4771212547196624,4
circled*	plrabn12.txt=1.4771212547196624,1
circles*	plrabn12.txt=1.6020599913279623,1
circlet*	plrabn12.txt=1.0,1
circling*	plrabn12.txt=1.9030899869919433,1
circuit*	lcet10.txt=1.0,plrabn12.txt=2.041392685158225,2
circular*	plrabn12.txt=1.0,1
circulating*	lcet10.txt=1.0,1
circumference*	plrabn12.txt=1.6989700043360187,1
circumfluous*	plrabn12.txt=1.0,1
circumfused*	plrabn12.txt=1.3010299956639813,1
circumscribe*	plrabn12.txt=1.0,1
circumscribed*	plrabn12.txt=1.0,1
circumspection*	plrabn12.txt=1.4771212547196624,1
circumstance*	asyoulik.txt=1.0,lcet10.txt=1.0,2
circumstances*	alice29.txt=1.0,lcet10.txt=1.3010299956639813,2
circumstantial*	asyoulik.txt=1.3010299956639813,1
circumvent*	plrabn12.txt=1.0,lcet10.txt=1.0,2
circumvented*	plrabn12.txt=1.0,1
citadel*	plrabn12.txt=1.0,1
citation*	lcet10.txt=1.3010299956639813,1
citations*	lcet10.txt=1.0,1
cited*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.0,2
cities*	plrabn12.txt=1.4771212547196624,1
citing*	lcet10.txt=1.0,1
citizens*	asyoulik.txt=1.0,lcet10.txt=1.3010299956639813,2
citron*	plrabn12.txt=1.0,1
city*	asyoulik.txt=1.4771212547196624,lcet10.txt=1.0,plrabn12.txt=2.0,3
citygates*	plrabn12.txt=1.0,1
citywoman*	asyoulik.txt=1.0,1
civet*	asyoulik.txt=1.3010299956639813,1
civil*	alice29.txt=1.4771212547196624,asyoulik.txt=1.0,plrabn12.txt=1.4771212547196624,3
civility*	asyoulik.txt=1.3010299956639813,1
civilization*	lcet10.txt=1.6989700043360187,1
clad*	plrabn12.txt=1.9542425094393248,1
claim*	asyoulik.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.7781512503836434,3
claimed*	lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,2
claiming*	plrabn12.txt=1.0,1
claims*	plrabn12.txt=1.0,1
claimst*	plrabn12.txt=1.0,1
clairvaux*	lcet10.txt=1.0,1
clamorous*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
clamour*	alice29.txt=1.0,plrabn12.txt=1.4771212547196624,2
clamours*	plrabn12.txt=1.0,1
clang*	plrabn12.txt=1.3010299956639813,1
clans*	plrabn12.txt=1.0,1
clap*	asyoulik.txt=1.0,1
clapped*	asyoulik.txt=1.0,1
clapping*	alice29.txt=1.0,1
clarification*	lcet10.txt=1.0,1
clarifications*	lcet10.txt=1.6020599913279623,1
clarified*	lcet10.txt=1.4771212547196624,1
clarify*	lcet10.txt=1.0,1
clarion*	plrabn12.txt=1.0,1
clarions*	plrabn12.txt=1.0,1
clarity*	lcet10.txt=1.0,1
clashed*	plrabn12.txt=1.0,1
clashing*	plrabn12.txt=1.0,1
clasp*	plrabn12.txt=1.0,1
clasped*	alice29.txt=1.0,1
clasping*	plrabn12.txt=1.0,1
class*	lcet10.txt=2.230448921378274,1
classes*	lcet10.txt=1.0,1
classic*	lcet10.txt=1.0,1
classical*	lcet10.txt=2.041392685158225,1
classicists*	lcet10.txt=1.0,1
classics*	alice29.txt=1.0,lcet10.txt=1.9542425094393248,2
classification*	cp.html=1.3010299956639813,1
classroom*	lcet10.txt=1.4771212547196624,1
classrooms*	lcet10.txt=1.0,1
claws*	alice29.txt=1.3010299956639813,asyoulik.txt=1.0,2
clay*	plrabn12.txt=1.3010299956639813,1
clean*	asyoulik.txt=1.0,alice29.txt=1.0,lcet10.txt=1.4771212547196624,3
cleanliest*	asyoulik.txt=1.0,1
cleanse*	asyoulik.txt=1.0,1
clear*	alice29.txt=1.3010299956639813,asyoulik.txt=1.0,lcet10.txt=1.9030899869919433,plrabn12.txt=2.1461280356782377,4
cleared*	alice29.txt=1.0,plrabn12.txt=1.4771212547196624,2
clearer*	plrabn12.txt=1.0,alice29.txt=1.0,lcet10.txt=1.3010299956639813,3
clearest*	plrabn12.txt=1.0,1
clearinghouses*	lcet10.txt=1.3010299956639813,1
clearly*	alice29.txt=1.0,lcet10.txt=1.7781512503836434,2
cleary*	cp.html=1.3010299956639813,1
cleft*	plrabn12.txt=1.0,1
cleombrotus*	plrabn12.txt=1.0,1
cleopatras*	asyoulik.txt=1.0,1
clerics*	lcet10.txt=1.0,1
clever*	alice29.txt=1.3010299956639813,1
click*	lcet10.txt=1.3010299956639813,1
clicking*	lcet10.txt=1.0,1
clicks*	lcet10.txt=1.0,1
client*	lcet10.txt=1.3010299956639813,1
clientele*	lcet10.txt=1.0,1
clients*	lcet10.txt=1.6989700043360187,1
clientserver*	lcet10.txt=1.6989700043360187,1
cliff*	plrabn12.txt=1.6020599913279623,1
clifford*	lcet10.txt=1.7781512503836434,1
cliffs*	plrabn12.txt=1.0,1
climate*	plrabn12.txt=1.3010299956639813,lcet10.txt=1.0,2
climb*	alice29.txt=1.0,asyoulik.txt=1.0,plrabn12.txt=1.4771212547196624,3
climbest*	plrabn12.txt=1.0,1
climbing*	plrabn12.txt=1.0,1
climbs*	plrabn12.txt=1.3010299956639813,1
clime*	plrabn12.txt=1.8450980400142567,1
climes*	plrabn12.txt=1.0,1
clinging*	alice29.txt=1.0,1
clings*	lcet10.txt=1.0,1
clinical*	lcet10.txt=2.041392685158225,1
clock*	asyoulik.txt=1.3010299956639813,alice29.txt=1.3010299956639813,2
clod*	plrabn12.txt=1.0,1
clods*	plrabn12.txt=1.3010299956639813,1
clomb*	plrabn12.txt=1.0,1
closd*	plrabn12.txt=1.0,1
close*	alice29.txt=2.113943352306837,lcet10.txt=1.6020599913279623,plrabn12.txt=2.230448921378274,3
closed*	plrabn12.txt=1.6020599913279623,alice29.txt=1.3010299956639813,lcet10.txt=1.8450980400142567,3
closely*	alice29.txt=1.0,lcet10.txt=1.6020599913279623,2
closer*	alice29.txt=1.0,1
closing*	plrabn12.txt=1.3010299956639813,1
cloth*	asyoulik.txt=1.0,1
clothe*	plrabn12.txt=1.0,1
clothed*	plrabn12.txt=1.4771212547196624,1
cloud*	plrabn12.txt=2.4913616938342726,1
clouded*	plrabn12.txt=1.3010299956639813,1
clouding*	lcet10.txt=1.0,1
clouds*	plrabn12.txt=2.342422680822206,1
cloudy*	plrabn12.txt=1.8450980400142567,1
cloven*	plrabn12.txt=1.0,1
clown*	asyoulik.txt=1.7781512503836434,1
clownish*	asyoulik.txt=1.0,1
club*	asyoulik.txt=1.0,1
clubs*	alice29.txt=1.0,asyoulik.txt=1.0,2
clung*	plrabn12.txt=1.0,1
clustering*	plrabn12.txt=1.3010299956639813,1
clusters*	plrabn12.txt=1.3010299956639813,1
cluttered*	lcet10.txt=1.0,1
cm*	lcet10.txt=1.3010299956639813,1
coal*	plrabn12.txt=1.0,1
coast*	alice29.txt=1.0,plrabn12.txt=2.113943352306837,2
coasting*	plrabn12.txt=1.0,1
coasts*	plrabn12.txt=1.3010299956639813,1
coat*	asyoulik.txt=1.4771212547196624,plrabn12.txt=1.4771212547196624,2
coats*	plrabn12.txt=1.0,1
coauthor*	cp.html=1.0,1
coauthored*	lcet10.txt=1.0,1
coaxing*	alice29.txt=1.3010299956639813,1
cock*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
cockpigeon*	asyoulik.txt=1.0,1
cocytus*	plrabn12.txt=1.0,1
code*	lcet10.txt=1.0,1
codea*	cp.html=1.4771212547196624,1
codebi*	cp.html=1.0,1
coded*	lcet10.txt=1.4771212547196624,1
codei*	cp.html=1.0,1
codera*	cp.html=1.3010299956639813,1
codes*	lcet10.txt=1.3010299956639813,1
codesi*	cp.html=1.0,1
codesomething*	lcet10.txt=1.0,1
coding*	cp.html=2.0,lcet10.txt=2.041392685158225,2
codinga*	lcet10.txt=1.0,1
codingi*	cp.html=1.6989700043360187,1
cods*	asyoulik.txt=1.0,1
coeternal*	plrabn12.txt=1.0,1
coexist*	lcet10.txt=1.0,1
coffee*	lcet10.txt=1.4771212547196624,1
cogitation*	plrabn12.txt=1.0,1
cognizant*	lcet10.txt=1.0,1
cohen*	lcet10.txt=1.0,1
coherent*	lcet10.txt=1.4771212547196624,1
cohesive*	lcet10.txt=1.0,1
cohort*	plrabn12.txt=1.0,1
coils*	alice29.txt=1.0,1
coinciding*	lcet10.txt=1.0,1
coined*	lcet10.txt=1.0,1
coins*	lcet10.txt=1.3010299956639813,1
colburn*	lcet10.txt=1.0,1
cold*	asyoulik.txt=1.0,alice29.txt=1.0,plrabn12.txt=2.1760912590556813,3
colickpangs*	plrabn12.txt=1.0,1
collaborate*	lcet10.txt=1.3010299956639813,1
collaborating*	lcet10.txt=1.0,1
collaboration*	lcet10.txt=1.3010299956639813,1
collaborative*	lcet10.txt=1.7781512503836434,1
collaborators*	lcet10.txt=1.3010299956639813,1
collar*	alice29.txt=1.0,1
collateral*	plrabn12.txt=1.3010299956639813,1
colleague*	plrabn12.txt=1.0,1
colleagues*	lcet10.txt=1.9030899869919433,1
collect*	lcet10.txt=1.4771212547196624,1
collected*	alice29.txt=1.3010299956639813,lcet10.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,3
collecting*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.0,2
collection*	lcet10.txt=2.518513939877887,1
collectionlevel*	lcet10.txt=1.0,1
collections*	lcet10.txt=2.672097857935717,1
collectionsthat*	lcet10.txt=1.0,1
collective*	lcet10.txt=1.4771212547196624,1
collectives*	lcet10.txt=1.0,1
collectors*	lcet10.txt=1.0,1
college*	lcet10.txt=2.041392685158225,plrabn12.txt=1.0,2
colleges*	lcet10.txt=1.3010299956639813,1
collegial*	lcet10.txt=1.0,1
collision*	plrabn12.txt=1.0,1
colloquy*	plrabn12.txt=1.0,1
color*	lcet10.txt=2.113943352306837,1
colored*	lcet10.txt=1.0,1
colors*	lcet10.txt=1.0,1
colour*	asyoulik.txt=1.9030899869919433,plrabn12.txt=1.4771212547196624,2
coloured*	plrabn12.txt=1.6020599913279623,1
colours*	plrabn12.txt=1.9030899869919433,1
columbus*	plrabn12.txt=1.0,1
column*	lcet10.txt=1.4771212547196624,1
columnate*	lcet10.txt=1.0,1
columns*	lcet10.txt=1.0,1
colure*	plrabn12.txt=1.0,1
comates*	asyoulik.txt=1.0,1
combat*	plrabn12.txt=1.3010299956639813,1
combatants*	plrabn12.txt=1.0,1
combination*	lcet10.txt=1.6989700043360187,1
combinations*	lcet10.txt=1.0,1
combine*	asyoulik.txt=1.0,1
combined*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,2
combines*	lcet10.txt=1.0,1
combustible*	plrabn12.txt=1.0,1
combustion*	plrabn12.txt=1.3010299956639813,1
come*	plrabn12.txt=2.568201724066995,alice29.txt=2.662757831681574,asyoulik.txt=2.832508912706236,lcet10.txt=2.0,4
comeliness*	plrabn12.txt=1.0,1
comely*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
comeniuss*	lcet10.txt=1.3010299956639813,1
comer*	plrabn12.txt=1.0,1
comes*	alice29.txt=1.3010299956639813,asyoulik.txt=2.3979400086720375,lcet10.txt=2.0,plrabn12.txt=2.2552725051033056,4
comesascend*	plrabn12.txt=1.0,1
comest*	plrabn12.txt=1.3010299956639813,1
comet*	plrabn12.txt=1.3010299956639813,1
comfits*	alice29.txt=1.3010299956639813,1
comfort*	alice29.txt=1.0,asyoulik.txt=1.6989700043360187,2
comfortable*	alice29.txt=1.0,asyoulik.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=1.0,4
comfortably*	alice29.txt=1.0,1
comforter*	plrabn12.txt=1.0,1
comfortless*	plrabn12.txt=1.0,1
comforts*	plrabn12.txt=1.0,1
coming*	alice29.txt=1.9542425094393248,asyoulik.txt=1.6989700043360187,lcet10.txt=1.8450980400142567,plrabn12.txt=2.1760912590556813,4
comingon*	asyoulik.txt=1.0,1
command*	asyoulik.txt=1.0,grammar.lsp=1.0,lcet10.txt=1.6020599913279623,plrabn12.txt=2.380211241711606,xargs.1=2.230448921378274,5
commanded*	plrabn12.txt=1.3010299956639813,1
commander*	plrabn12.txt=1.0,1
commandergodlike*	plrabn12.txt=1.0,1
commandest*	plrabn12.txt=1.0,1
commanding*	plrabn12.txt=1.4771212547196624,1
commandment*	asyoulik.txt=1.0,1
commands*	asyoulik.txt=1.0,plrabn12.txt=1.8450980400142567,2
commencement*	lcet10.txt=1.0,1
commend*	asyoulik.txt=1.4771212547196624,1
commendation*	asyoulik.txt=1.0,1
commended*	lcet10.txt=1.0,1
commends*	plrabn12.txt=1.0,1
comment*	lcet10.txt=1.6989700043360187,1
commentary*	lcet10.txt=1.0,1
commented*	lcet10.txt=1.8450980400142567,1
commenting*	asyoulik.txt=1.0,lcet10.txt=1.3010299956639813,2
comments*	lcet10.txt=2.0791812460476247,1
commercial*	lcet10.txt=1.9542425094393248,1
commercially*	lcet10.txt=1.3010299956639813,1
commiseration*	plrabn12.txt=1.0,1
commission*	asyoulik.txt=1.0,lcet10.txt=2.0791812460476247,plrabn12.txt=1.0,3
commissioned*	lcet10.txt=1.0,1
commit*	plrabn12.txt=1.0,1
commitment*	lcet10.txt=1.0,1
commitments*	lcet10.txt=1.0,1
committed*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.0,2
committee*	lcet10.txt=1.6020599913279623,1
committees*	lcet10.txt=1.9030899869919433,1
committing*	asyoulik.txt=1.0,lcet10.txt=1.0,2
commodiously*	plrabn12.txt=1.0,1
